date,artist_id,artist_popularity
2023-12-28,08GQAI4eElDnROBrJRGE0X,80
2023-12-28,0ECwFtbIWEVNwjlrfc6xoL,76
2023-12-28,0k17h0D3J5VfsdmQ1iZtE9,77
2023-12-28,0L8ExT028jH3ddEcZwqJJ5,82
2023-12-28,0oSGxfWSnnOXhD2fKuz2Gy,76
2023-12-28,0WwSkZ7LtFUFjGjMZBMt6T,74
2023-12-28,1dfeR4HaWDbWqFHLkxsg1d,83
2023-12-28,22bE4uQ6baNwSHPVcDxLCe,78
2023-12-28,22WZ7M8sxp5THdruNY3gXt,71
2023-12-28,27T030eWyCQRmDyuvr1kxY,70
2023-12-28,2AM4ilv6UzW0uMRuqKtDgN,67
2023-12-28,36QJpDe2go2KgaRleHCDTp,74
2023-12-28,3ICflSq6ZgYAIrm2CTkfVP,63
2023-12-28,3oDbviiivRWhXwIE8hxkVV,74
2023-12-28,3qm84nBOXUEQ2vnTfUTTFC,78
2023-12-28,3WrFJ7ztbogyGnTHbHJFl2,83
2023-12-28,4KWTAlx2RvbpseOGMEmROg,72
2023-12-28,4MVyzYMgTwdP7Z49wAZHx0,70
2023-12-28,4Z8W4fKeB5YxbusRsdQVPb,80
2023-12-28,51Blml2LZPmy7TTiAg47vQ,76
2023-12-28,568ZhdwyaiCyOGJRtNYhWf,64
2023-12-28,58lV9VcRSjABbAbfWS6skp,76
2023-12-28,5NGO30tJxFlKixkPSgXcFE,75
2023-12-28,67ea9eGLXYMsO2eYQRui3w,66
2023-12-28,6olE6TJLqED3rqDCT0FyPh,79
2023-12-28,6PAt558ZEZl0DmdXlnjMgD,69
2023-12-28,6zvul52xwTWzilBZl6BUbT,69
2023-12-28,711MCceyCBcFnzjGY4Q7Un,79
2023-12-28,776Uo845nYHJpNaStv1Ds4,68
2023-12-28,7Ey4PD4MYsKc5I2dolUwbH,74
2023-12-29,08GQAI4eElDnROBrJRGE0X,80
2023-12-29,0ECwFtbIWEVNwjlrfc6xoL,77
2023-12-29,0k17h0D3J5VfsdmQ1iZtE9,77
2023-12-29,0L8ExT028jH3ddEcZwqJJ5,82
2023-12-29,0oSGxfWSnnOXhD2fKuz2Gy,76
2023-12-29,0WwSkZ7LtFUFjGjMZBMt6T,74
2023-12-29,1dfeR4HaWDbWqFHLkxsg1d,84
2023-12-29,22bE4uQ6baNwSHPVcDxLCe,78
2023-12-29,22WZ7M8sxp5THdruNY3gXt,71
2023-12-29,27T030eWyCQRmDyuvr1kxY,70
2023-12-29,2AM4ilv6UzW0uMRuqKtDgN,67
2023-12-29,36QJpDe2go2KgaRleHCDTp,75
2023-12-29,3ICflSq6ZgYAIrm2CTkfVP,63
2023-12-29,3oDbviiivRWhXwIE8hxkVV,75
2023-12-29,3qm84nBOXUEQ2vnTfUTTFC,78
2023-12-29,3WrFJ7ztbogyGnTHbHJFl2,83
2023-12-29,4KWTAlx2RvbpseOGMEmROg,72
2023-12-29,4MVyzYMgTwdP7Z49wAZHx0,70
2023-12-29,4Z8W4fKeB5YxbusRsdQVPb,80
2023-12-29,51Blml2LZPmy7TTiAg47vQ,76
2023-12-29,568ZhdwyaiCyOGJRtNYhWf,64
2023-12-29,58lV9VcRSjABbAbfWS6skp,76
2023-12-29,5NGO30tJxFlKixkPSgXcFE,75
2023-12-29,67ea9eGLXYMsO2eYQRui3w,66
2023-12-29,6olE6TJLqED3rqDCT0FyPh,79
2023-12-29,6PAt558ZEZl0DmdXlnjMgD,69
2023-12-29,6zvul52xwTWzilBZl6BUbT,69
2023-12-29,711MCceyCBcFnzjGY4Q7Un,79
2023-12-29,776Uo845nYHJpNaStv1Ds4,68
2023-12-29,7Ey4PD4MYsKc5I2dolUwbH,74
2024-01-02,08GQAI4eElDnROBrJRGE0X,80
2024-01-02,0ECwFtbIWEVNwjlrfc6xoL,77
2024-01-02,0k17h0D3J5VfsdmQ1iZtE9,77
2024-01-02,0L8ExT028jH3ddEcZwqJJ5,82
2024-01-02,0oSGxfWSnnOXhD2fKuz2Gy,76
2024-01-02,0WwSkZ7LtFUFjGjMZBMt6T,74
2024-01-02,1dfeR4HaWDbWqFHLkxsg1d,84
2024-01-02,22bE4uQ6baNwSHPVcDxLCe,78
2024-01-02,22WZ7M8sxp5THdruNY3gXt,71
2024-01-02,27T030eWyCQRmDyuvr1kxY,71
2024-01-02,2AM4ilv6UzW0uMRuqKtDgN,67
2024-01-02,36QJpDe2go2KgaRleHCDTp,75
2024-01-02,3ICflSq6ZgYAIrm2CTkfVP,63
2024-01-02,3oDbviiivRWhXwIE8hxkVV,75
2024-01-02,3qm84nBOXUEQ2vnTfUTTFC,78
2024-01-02,3WrFJ7ztbogyGnTHbHJFl2,83
2024-01-02,4KWTAlx2RvbpseOGMEmROg,72
2024-01-02,4MVyzYMgTwdP7Z49wAZHx0,70
2024-01-02,4Z8W4fKeB5YxbusRsdQVPb,80
2024-01-02,51Blml2LZPmy7TTiAg47vQ,76
2024-01-02,568ZhdwyaiCyOGJRtNYhWf,64
2024-01-02,58lV9VcRSjABbAbfWS6skp,76
2024-01-02,5NGO30tJxFlKixkPSgXcFE,75
2024-01-02,67ea9eGLXYMsO2eYQRui3w,66
2024-01-02,6olE6TJLqED3rqDCT0FyPh,80
2024-01-02,6PAt558ZEZl0DmdXlnjMgD,70
2024-01-02,6zvul52xwTWzilBZl6BUbT,69
2024-01-02,711MCceyCBcFnzjGY4Q7Un,79
2024-01-02,776Uo845nYHJpNaStv1Ds4,68
2024-01-02,7Ey4PD4MYsKc5I2dolUwbH,74
2024-01-05,08GQAI4eElDnROBrJRGE0X,80
2024-01-05,0ECwFtbIWEVNwjlrfc6xoL,77
2024-01-05,0k17h0D3J5VfsdmQ1iZtE9,78
2024-01-05,0L8ExT028jH3ddEcZwqJJ5,82
2024-01-05,0oSGxfWSnnOXhD2fKuz2Gy,76
2024-01-05,0WwSkZ7LtFUFjGjMZBMt6T,74
2024-01-05,1dfeR4HaWDbWqFHLkxsg1d,84
2024-01-05,22bE4uQ6baNwSHPVcDxLCe,78
2024-01-05,22WZ7M8sxp5THdruNY3gXt,71
2024-01-05,27T030eWyCQRmDyuvr1kxY,71
2024-01-05,2AM4ilv6UzW0uMRuqKtDgN,67
2024-01-05,36QJpDe2go2KgaRleHCDTp,75
2024-01-05,3ICflSq6ZgYAIrm2CTkfVP,63
2024-01-05,3oDbviiivRWhXwIE8hxkVV,75
2024-01-05,3qm84nBOXUEQ2vnTfUTTFC,78
2024-01-05,3WrFJ7ztbogyGnTHbHJFl2,83
2024-01-05,4KWTAlx2RvbpseOGMEmROg,72
2024-01-05,4MVyzYMgTwdP7Z49wAZHx0,70
2024-01-05,4Z8W4fKeB5YxbusRsdQVPb,80
2024-01-05,51Blml2LZPmy7TTiAg47vQ,77
2024-01-05,568ZhdwyaiCyOGJRtNYhWf,64
2024-01-05,58lV9VcRSjABbAbfWS6skp,76
2024-01-05,5NGO30tJxFlKixkPSgXcFE,75
2024-01-05,67ea9eGLXYMsO2eYQRui3w,66
2024-01-05,6olE6TJLqED3rqDCT0FyPh,80
2024-01-05,6PAt558ZEZl0DmdXlnjMgD,70
2024-01-05,6zvul52xwTWzilBZl6BUbT,69
2024-01-05,711MCceyCBcFnzjGY4Q7Un,79
2024-01-05,776Uo845nYHJpNaStv1Ds4,68
2024-01-05,7Ey4PD4MYsKc5I2dolUwbH,74
2024-01-06,08GQAI4eElDnROBrJRGE0X,80
